TIC_Number,TOI_Number,SG2/4 Status,"ID (HD, HIP, TYC, etc)",GAIA,Distance,Parallax,Gaia_Source,RA,pm_RA,Dec,pm_Dec,Reddening_mag,Reddening_uncertainty_min,Reddening_uncertainty_max,av,e_av,Teff,e_Teff,logg,e_logg,metallicity,e_metallicity,author,bibcode,SpType,Mult?,Gal_Lon,Gal_Lat
308883808,2609.01,APC,,3765885393090760320,331.7672,3.031161,DR3,152.4922,-52.6735,-12.1787,18.01729,0.039,0.023,0.023,0.12909,0.07613,6250,250,4.5,0.5,0,0.5,TRES,,,N,252.7250447,34.51594341
309792357,199.01,VPC,,4762582895440787712,101.9095,9.829624,DR3,80.10589,45.86408,-59.8954,58.44471,0.001,0.014,0.014,0.00331,0.04634,,,,,,,,,,Y,268.7660976,-34.55054072
314865962,208.01,PC,,4641499727187369088,149.0987,6.723964,DR3,53.28159,18.64376,-72.744,44.68628,0.007,0.016,0.016,0.02317,0.05296,,,,,,,,,,N,288.4918486,-39.5271573
316769613,314.01,PPC,,2324780379015431296,130.975,7.652042,DR3,354.6683,3.722214,-32.8607,-29.7125,0.002,0.015,0.015,0.00662,0.04965,,,,,,,,,,N,8.519335979,-73.26266218
318753380,2443.01,PC,BD+00 444,2501948402746099456,23.92042,41.82228,DR3,40.1799,283.915,1.199708,231.7454,0,0.014,0.014,0,0.04634,4211,9,4.7,0.2,-0.01,0.05,Mishenina,2012A&A...547A.106M,,N,170.2155212,-51.35316804
318812447,2634.01,STPC,,5642251292706560,178.1388,5.630601,DR3,41.03656,35.19181,3.91023,-13.4304,0.017,0.017,0.017,0.05627,0.05627,,,,,,,,,,N,168.5088577,-48.72889395
320004517,1055.01,P,HD 183579,6641996571978861440,56.84409,17.60898,DR3,293.2866,108.3214,-54.5327,-82.7141,0.006,0.016,0.016,0.01986,0.05296,5798,4,4.48,0.012,-0.036,0.003,Spina*,2018MNRAS.474.2580S,,N,343.0619236,-27.69910581
323295479,1861.01,STPC,,5195197358981981824,135.1109,7.418329,DR3,130.8002,41.7242,-83.0613,-59.5446,0.008,0.017,0.017,0.02648,0.05627,,,,,,,,,,N,296.2371804,-23.71993311
327301957,1074.01,PC,,6373601591750055424,107.8295,9.2909,DR3,310.761,19.93638,-72.0103,42.00159,0.005,0.016,0.016,0.01655,0.05296,,,,,,,,,,N,322.204938,-34.21610592
339961200,724.01,CPC?,,5293826644369371520,95.74658,10.46124,DR3,112.5552,-47.4107,-58.5397,51.71775,0.002,0.014,0.014,0.00662,0.04634,,,,,,,,,,N,270.1637755,-18.10292543
348770361,161.01,VPC+?,,4618875523099627648,,,,46.68664,,-82.3164,,0,0.014,0.014,0,0.04634,,,,,,,,,,N,297.8159482,-33.41786448
350293646,2548.01,KP,,3078836109158636928,100.5366,9.96363,DR3,131.107,-23.3442,1.859889,-31.5698,0.004,0.015,0.015,0.01324,0.04965,,,,,,,,,,N,224.9109971,25.83586854
354519019,2507.01,PC,,4805634616824440192,102.9516,9.730303,DR3,82.55982,-21.9024,-43.7985,-37.8081,0.001,0.014,0.014,0.00331,0.04634,,,,,,,,,,N,249.4800618,-32.57849187
364393429,1207.01,CPC,,5287888182069257344,113.9827,8.790258,DR3,116.5943,-194.545,-64.056,171.3546,0.003,0.016,0.016,0.00993,0.05296,,,,,,,,,,N,276.3057188,-18.51645701
